Open,High,Low,Close,Volume,Open Interest,Symbol
67.5,67.5,67.5,67.5,0.0,0.0,BRN-2034H
67.02,67.02,67.02,67.02,0.0,0.0,BRN-2034J
67.44,67.44,67.44,67.44,0.0,0.0,BRN-2034J
66.96,66.96,66.96,66.96,0.0,0.0,BRN-2034K
67.38,67.38,67.38,67.38,0.0,0.0,BRN-2034K
66.9,66.9,66.9,66.9,0.0,0.0,BRN-2034M
67.32,67.32,67.32,67.32,0.0,0.0,BRN-2034M
66.84,66.84,66.84,66.84,0.0,0.0,BRN-2034N
67.26,67.26,67.26,67.26,0.0,0.0,BRN-2034N
66.78,66.78,66.78,66.78,0.0,0.0,BRN-2034Q
67.2,67.2,67.2,67.2,0.0,0.0,BRN-2034Q
66.73,66.73,66.73,66.73,0.0,0.0,BRN-2034U
67.15,67.15,67.15,67.15,0.0,0.0,BRN-2034U
66.68,66.68,66.68,66.68,0.0,0.0,BRN-2034V
67.1,67.1,67.1,67.1,0.0,0.0,BRN-2034V
66.63,66.63,66.63,66.63,0.0,0.0,BRN-2034X
67.05,67.05,67.05,67.05,0.0,0.0,BRN-2034X
66.58,66.58,66.58,66.58,0.0,0.0,BRN-2034Z
67.0,67.0,67.0,67.0,0.0,0.0,BRN-2034Z
66.51,66.51,66.51,66.51,0.0,0.0,BRN-2035F
66.93,66.93,66.93,66.93,0.0,0.0,BRN-2035F
66.45,66.45,66.45,66.45,0.0,0.0,BRN-2035G
66.87,66.87,66.87,66.87,0.0,0.0,BRN-2035G
66.39,66.39,66.39,66.39,0.0,0.0,BRN-2035H
66.81,66.81,66.81,66.81,0.0,0.0,BRN-2035H
66.33,66.33,66.33,66.33,0.0,0.0,BRN-2035J
66.75,66.75,66.75,66.75,0.0,0.0,BRN-2035J
66.27,66.27,66.27,66.27,0.0,0.0,BRN-2035K
66.69,66.69,66.69,66.69,0.0,0.0,BRN-2035K
66.21,66.21,66.21,66.21,0.0,0.0,BRN-2035M
66.63,66.63,66.63,66.63,0.0,0.0,BRN-2035M
66.15,66.15,66.15,66.15,0.0,0.0,BRN-2035N
66.57,66.57,66.57,66.57,0.0,0.0,BRN-2035N
66.09,66.09,66.09,66.09,0.0,0.0,BRN-2035Q
66.51,66.51,66.51,66.51,0.0,0.0,BRN-2035Q
66.03,66.03,66.03,66.03,0.0,0.0,BRN-2035U
66.45,66.45,66.45,66.45,0.0,0.0,BRN-2035U
65.98,65.98,65.98,65.98,0.0,0.0,BRN-2035V
66.4,66.4,66.4,66.4,0.0,0.0,BRN-2035V
65.93,65.93,65.93,65.93,0.0,0.0,BRN-2035X
66.35,66.35,66.35,66.35,0.0,0.0,BRN-2035X
65.88,65.88,65.88,65.88,0.0,0.0,BRN-2035Z
66.3,66.3,66.3,66.3,0.0,0.0,BRN-2035Z
65.81,65.81,65.81,65.81,0.0,0.0,BRN-2036F
66.23,66.23,66.23,66.23,0.0,0.0,BRN-2036F
65.75,65.75,65.75,65.75,0.0,0.0,BRN-2036G
66.17,66.17,66.17,66.17,0.0,0.0,BRN-2036G
65.69,65.69,65.69,65.69,0.0,0.0,BRN-2036H
66.11,66.11,66.11,66.11,0.0,0.0,BRN-2036H
65.63,65.63,65.63,65.63,0.0,0.0,BRN-2036J
66.05,66.05,66.05,66.05,0.0,0.0,BRN-2036J
65.57,65.57,65.57,65.57,0.0,0.0,BRN-2036K
65.99,65.99,65.99,65.99,0.0,0.0,BRN-2036K
65.51,65.51,65.51,65.51,0.0,0.0,BRN-2036M
65.93,65.93,65.93,65.93,0.0,0.0,BRN-2036M
65.45,65.45,65.45,65.45,0.0,0.0,BRN-2036N
65.87,65.87,65.87,65.87,0.0,0.0,BRN-2036N
65.39,65.39,65.39,65.39,0.0,0.0,BRN-2036Q
65.81,65.81,65.81,65.81,0.0,0.0,BRN-2036Q
65.33,65.33,65.33,65.33,0.0,0.0,BRN-2036U
65.75,65.75,65.75,65.75,0.0,0.0,BRN-2036U
65.27,65.27,65.27,65.27,0.0,0.0,BRN-2036V
65.69,65.69,65.69,65.69,0.0,0.0,BRN-2036V
65.22,65.22,65.22,65.22,0.0,0.0,BRN-2036X
65.64,65.64,65.64,65.64,0.0,0.0,BRN-2036X
65.17,65.17,65.17,65.17,0.0,0.0,BRN-2036Z
65.59,65.59,65.59,65.59,0.0,0.0,BRN-2036Z
65.12,65.12,65.12,65.12,0.0,0.0,BRN-2037F
65.54,65.54,65.54,65.54,0.0,0.0,BRN-2037F
65.07,65.07,65.07,65.07,0.0,0.0,BRN-2037G
65.49,65.49,65.49,65.49,0.0,0.0,BRN-2037G
65.02,65.02,65.02,65.02,0.0,0.0,BRN-2037H
65.44,65.44,65.44,65.44,0.0,0.0,BRN-2037H
64.97,64.97,64.97,64.97,0.0,0.0,BRN-2037J
65.39,65.39,65.39,65.39,0.0,0.0,BRN-2037J
64.92,64.92,64.92,64.92,0.0,0.0,BRN-2037K
65.34,65.34,65.34,65.34,0.0,0.0,BRN-2037K
64.87,64.87,64.87,64.87,0.0,0.0,BRN-2037M
65.29,65.29,65.29,65.29,0.0,0.0,BRN-2037M
64.82,64.82,64.82,64.82,0.0,0.0,BRN-2037N
65.24,65.24,65.24,65.24,0.0,0.0,BRN-2037N
64.77,64.77,64.77,64.77,0.0,0.0,BRN-2037Q
65.19,65.19,65.19,65.19,0.0,0.0,BRN-2037Q
64.72,64.72,64.72,64.72,0.0,0.0,BRN-2037U
65.14,65.14,65.14,65.14,0.0,0.0,BRN-2037U
64.67,64.67,64.67,64.67,0.0,0.0,BRN-2037V
65.09,65.09,65.09,65.09,0.0,0.0,BRN-2037V
64.63,64.63,64.63,64.63,0.0,0.0,BRN-2037X
65.05,65.05,65.05,65.05,0.0,0.0,BRN-2037X
64.59,64.59,64.59,64.59,0.0,0.0,BRN-2037Z
65.01,65.01,65.01,65.01,0.0,0.0,BRN-2037Z
64.54,64.54,64.54,64.54,0.0,0.0,BRN-2038F
64.96,64.96,64.96,64.96,0.0,0.0,BRN-2038F
64.49,64.49,64.49,64.49,0.0,0.0,BRN-2038G
64.91,64.91,64.91,64.91,0.0,0.0,BRN-2038G
64.44,64.44,64.44,64.44,0.0,0.0,BRN-2038H
64.86,64.86,64.86,64.86,0.0,0.0,BRN-2038H
64.39,64.39,64.39,64.39,0.0,0.0,BRN-2038J
64.81,64.81,64.81,64.81,0.0,0.0,BRN-2038J
64.34,64.34,64.34,64.34,0.0,0.0,BRN-2038K
64.76,64.76,64.76,64.76,0.0,0.0,BRN-2038K
64.29,64.29,64.29,64.29,0.0,0.0,BRN-2038M
64.71,64.71,64.71,64.71,0.0,0.0,BRN-2038M
64.24,64.24,64.24,64.24,0.0,0.0,BRN-2038N
64.66,64.66,64.66,64.66,0.0,0.0,BRN-2038N
64.19,64.19,64.19,64.19,0.0,0.0,BRN-2038Q
64.61,64.61,64.61,64.61,0.0,0.0,BRN-2038Q
64.14,64.14,64.14,64.14,0.0,0.0,BRN-2038U
64.56,64.56,64.56,64.56,0.0,0.0,BRN-2038U
64.09,64.09,64.09,64.09,0.0,0.0,BRN-2038V
64.51,64.51,64.51,64.51,0.0,0.0,BRN-2038V
64.04,64.04,64.04,64.04,0.0,0.0,BRN-2038X
64.46,64.46,64.46,64.46,0.0,0.0,BRN-2038X
