Symbol,Z-Score,Daily Return (%),Close,Date
HKDGBP,-0.627649934296542,-0.3385832,0.09419,2026-08-14
USDAUD,-0.6337799054755016,-0.38092983,1.4122,2026-08-14
HKDAUD,-0.6469579468688664,-0.38738072,0.18,2026-08-14
BRLUSD,-0.6491389033327217,-0.6227324,0.1915,2026-08-14
SGDAUD,-0.6635679327173153,-0.27996364,1.1042,2026-08-14
$MXX,-0.6663103126065081,-0.6616771,64397.45,2026-08-14
INREUR,-0.6741845356304353,-0.3300304,0.00906,2026-08-14
$SMI,-0.686271112753788,-0.5834833,14390.67,2026-08-14
$USDX,-0.7008141798450326,-0.2811444,99.667,2026-08-14
USDCZK,-0.7046176297983772,-0.39994112,20.919,2026-08-14
USDPLN,-0.7648748136887286,-0.48162812,3.7193,2026-08-14
USDSEK,-0.7705003896692932,-0.47993344,9.5178,2026-08-14
MYREUR,-0.7731885471603077,-0.37664717,0.2116,2026-08-14
EURNZD,-0.7888454226704947,-0.37059698,1.9625,2026-08-14
USDEUR,-0.7963081840959784,-0.35734618,0.8644,2026-08-14
GBPNZD,-0.8030176621040385,-0.39491212,2.2952,2026-08-14
$HS,-0.8048892996718097,-1.1011755,25116.85,2026-08-14
USDDKK,-0.8059923228194957,-0.36091533,6.4602,2026-08-14
$XIN0,-0.8152946601483783,-1.32718,15788.51,2026-08-14
JPYNZD,-0.8260706265452659,-0.5318628,0.01066,2026-08-14
HKDEUR,-0.8352629518707237,-0.37083757,0.11015,2026-08-14
SGDEUR,-0.840324747610774,-0.25089192,0.6759,2026-08-14
&ZN_CCB,-0.9134671881403021,-0.31559318,108.578125,2026-08-14
MSTR,-0.9302867250662382,-4.181254,93.04,2026-08-14
CHFEUR,-0.9312324885399585,-0.28142786,1.063,2026-08-14
RUBUSD,-0.9940756937512183,-1.411967,0.01187,2026-08-14
GBPNOK,-0.9954993950744873,-0.5725081,12.7473,2026-08-14
EURNOK,-1.001281022652137,-0.54292053,10.8997,2026-08-14
USDCAD,-1.016752364175812,-0.4163682,1.3872,2026-08-14
USDNZD,-1.0672584436504338,-0.6436157,1.6981,2026-08-14
AUDNZD,-1.1001898099294323,-0.34843054,1.2012,2026-08-14
USDTWD,-1.155393445021676,-0.3735143,32.007,2026-08-14
CHFNZD,-1.1732251949168715,-0.60987127,2.086,2026-08-14
CHFNOK,-1.2537672779345903,-0.781879,11.5857,2026-08-14
USDNOK,-1.2632981077813852,-0.90349996,9.4215,2026-08-14
$RTS,-2.6095458325848435,-5.128415,796.02,2026-08-14
